,X,brand_name,item_name,number_likes,condition,color,size,price,img_length,measurements,description,type
1,1,Reese Cooper,Fever Dream Cargo Short,4,Gently Used,Black,30,$70 ,3,1,"Heavy nylon
Snap fly, cinch back
Drop cargo pocket
CDG style",0
2,2,Reese Cooper,Reese cooper hanging cargo pocket short,7,Gently Used,Black,28,$65 ,6,1,"Rick esque cargo shorts from one of Reese coopers first collections
Super nice material almost feels like a super thick crushed nylon but is still 40% cotton
10 pockets in total which is crazy 4 hidden pockets",0
3,3,Reese Cooper,New Reese Cooper Sweatpants Black Size Small,2,New,Black,30,$100 ,6,1,"These are a Brand New Pair of Reese Cooper Black Sweatpants in a Size Small
100% Cotton
New with Tags
Made In USA
MSRP: $348",1
4,4,Reese Cooper,River Runs Through SS21 Cargo Pants Cotton,9,New,White,36,$145 ,5,1,Brand new with tag. Retails $360+ Perfect for spring.,1
5,5,Levi's × Reese Cooper,RCI x Levi’s Straight Fit Canvas Pant,4,Gently Used,Cream,28,$85 ,5,1,"Reese cooper x Levi’s pant in Natural color
Retailed at $100
Attached signature RC belt hook, green RCI stitching on the knee, and RCI X Levi tag on the back
Straight fit

Worn lightly. 9/10 condition
**no returns**
**no international shipping**",1
6,6,Reese Cooper,Reese Cooper coordinates paint splatter jeans,11,Gently Used,Denim,30,$126 ,9,1,"Beautiful pair of jeans from the lone pine AW18 collection
They’re labeled a size 28 but the waist measures 30”
Nearly new, only worn a handful of times
Paint splatter on the front with coordinates embroidered on the thigh
Message bio for offers",1
7,7,Reese Cooper,Reese Cooper Canyon Camo Cargo Pants,18,Gently Used,Canyon,34,$200 ,7,1,"Gently worn SS21 Canyon Camo cargo pants by Reese Cooper. Only worn a handful of times, dry cleaned and stored since Spring. Great pair of baggy fit cargos with a very unique camo print, called “canyon camo”. This pair also features drawstrings on/in the cargo pockets, as well as at the leg openings so you can alter the fit.
Please ask any and all questions before purchasing or submitting a binding offer. I usually ship within 48 hours of purchase.
All sales are finals, no returns.",1
8,8,Reese Cooper,Reese Cooper Shorts,6,Gently Used,Red,32,$89 ,2,0,"RED REESE COOPER SHORTS
They didn't have a filter for Reese? smh
size 32-33
Excellent Condition, Only worn twice
Please buy with confidence",0
9,9,Reese Cooper,Reese Cooper Sweatpants,17,Gently Used,Black,32,$120 ,7,1,"Title: Reese Cooper Sweatpants
Color: Black
Size: Medium
Measurements:
-Inseam (Crotch to Bottom): 31""
-Outseam (Full Length): 42""
-Waist: 30-34""
The condition of this item is pre-owned. There are no flaws, just normal wear. Please view all photos provided to ensure that the condition of the item suits you.
If you have any questions at all please don’t hesitate to message me. Thank you for shopping and please check out my other listings!",1
10,10,Reese Cooper,Reese Cooper Drop Pocket Cargo Shorts,24,Used,Black,30,$90 ,7,1,"Good condition
Super cool and unique design, total of 8 pockets
Tagged 32 but fit closer to size 30-31
All measurements are flat across (and the waist is stretchy)
The zipper sometimes gets undone but I think it’s because they are too small on me",0
11,11,Reese Cooper,Reese Cooper Double Knee Work Pants,5,Gently Used,Brown,32,$90 ,5,0,"Size 32
Gently used",1
12,12,Levi's × Reese Cooper,Reese Cooper x Levi’s rare jeans collab,40,Gently Used,Blue,34,$85 ,5,1,"Really good condition dope details, awesome color and flawless. This is a Reese Cooper and Levi’s collab. Pm for question",1
13,13,Levi's × Reese Cooper,RCI X Levi's Straight Fit Denim Jean,12,New,Dark blue wash,30,$140 ,6,1,"Reese Cooper X Levi's Straight Fit Denim Jean
Size 30W x 34L
RCI badging above knee
Patch style pockets
Metal Hook feature",1
14,14,Reese Cooper,Reese Cooper Two-Tone Khaki Carpenter Pants,3,Gently Used,Khaki,32,$330 ,7,1,"100% Authentic
Super Rare
Size 32
Excellent Condition
All sales are final. Check out other heat on my page!",1
15,15,Levi's × Reese Cooper,Reese Cooper x Levi’s Green Duck denim jeans (32x34),0,Gently Used,Green,32,$160 ,4,1,"Reese Cooper x Levi’s Green Duck denim jeans (32x34)
Worn once in great condition - Offer Up!",1
16,16,Levi's × Reese Cooper,Reese Cooper x Levi’s Straight Fit Duck Canvas Pant,38,Gently Used,Green,34,$95 ,6,1,"Forest Green. Sick pair of pants, signature Reese Cooper carabiner. Great color. Excellent condition 9/10. Open to offers!",1
17,17,Reese Cooper,Outdoor Supply Waxed Cotton Pant in Khaki,28,New,Khaki,34,$155 ,6,1,"Light pant perfect for the summer. Retail was $428.
Only tried on once. The pant runs small. Fits a size 32 better. I fit 33/34 and this didn't fit well (too much junk in trunk) <U+0001F614>",1
18,18,Reese Cooper,Reese Cooper Nylon Cargo Shorts,12,Used,Black,34,$60 ,5,1,"Nylon grosgrain shorts in black. Four-pocket styling. Drawstring at elasticized waistband. Flap pockets at front.
HOW A LETTER TRAVELS collection
Condition 8/10",0
19,19,Levi's × Reese Cooper,Levis Reese Cooper Straight Denim Jeans,15,New,Beige,34,$155 ,4,0,brand new with tags,1
20,20,Reese Cooper,Reese cooper jean shorts,6,Gently Used,Blue,32,$90 ,5,0,"Reese cooper custom jean shorts
Size 32 fits 32-33
In great condition - no flaws to note
These shorts are NOT sold by Reese cooper - they are jeans which were cut into shorts
Message me for all inquiries. Can provide a more accurate shipping quote for your location if requested. Thanks for viewing!",0
21,21,Reese Cooper,REESE COOPER Plaid Ripstop Wide-Leg Pants,23,Used,Blue,34,$124 ,5,0,"REESE COOPER Plaid Ripstop Wide-Leg Pants
retail ~$400
from autumn/winter 2022 two steps forward collection
size medium/large unisex
PROFESSIONALLY TAILORED for CROPPED fit see measurements
worn ONCE almost brand new
fits normally on someone around 5'9
From the Two Steps Forward Collection. An exaggerated wide-leg silhouette defines Reese Cooper’s plaid pants, cut from sporty ripstop nylon.
Elasticized drawstring waistband
Pull-on style
On-seam pockets
Back patch pockets
Polyester
Dry clean
Made in USA
modern / streetwear / luxury / designer
COLOR: navy
Keywords/similar to: ssense farfetch saks
general hashtags : #rare #unique #vintage #streetwear #trending",1
22,22,Reese Cooper,Reese Cooper Cargo Work Pants,87,New,Khaki,34,$280 ,6,0,New without tags. Size 34. Message me with any questions!,1
23,23,Levi's × Reese Cooper,Reese Cooper x Levis Straight Fit Jeans,36,Gently Used,Blue denim,32,$96 ,3,0,"Condition: 9/10
Worn a few times but still in great condition.
32 waist 34 length",1
24,24,Levi's × Reese Cooper,Levis Reese Cooper Straight Denim Jeans,16,New,Beige,32,$150 ,4,0,brand new with tags,1
25,25,Reese Cooper,Reese Cooper Brushed Cotton Cargos,3,New,Blue,30,$200 ,8,1,"SS22 “Fresh Air”
Never worn, 10/10 condition.
Retail:$400+
*FINAL SALE* NO RETURNS",1
26,26,Reese Cooper,AW 2021 Pyrophyte Cotton Cargo Pants,7,Used,Black,32,$165 ,5,1,"A bit of fading. Good condition. Loose straight fit.
Ships from nyc in 3-5 days.",1
27,27,Reese Cooper × Streetwear,Black Relaxed Fit Trousers,13,New,Black,34,$70 ,6,0,"Beautiful pair of black pleated trousers from Reese cooper.
Wide legged relaxed fit
Insanely nice quality and details
BRAND NEW",1
28,28,Reese Cooper,Nylon Cargo Shorts Green,28,New,Green,27,$63 ,4,1,"Reese Cooper
Nylon Cargo Shorts
Green
New w/o tags
originally $325
The “HOW A LETTER TRAVELS” tag is loose on the left side.",0
29,29,Reese Cooper,Nylon Cargo Short,31,Used,Green,30,$115 ,3,1,"Purchased directly from Reese Cooper
Retailed around $300
Lightweight Cordura nylon cargo short
Great summer short
I am doing a closet clearout, so I am doing package deals!
Open to offers
You are buying the item as is so please look at the pics carefully and ask any questions beforehand. Once the item is shipped it is no longer my responsibility(fees, duties, taxes), no returns or refunds.",0
30,30,Reese Cooper,RCI Single Pocket Pants,9,Used,Grayish green?,30,$81 ,8,1,"RCI pants from “how a letter travels”
Pocket on leg of pants has a zipper on the side with a “hidden” pocket. These were ripped and repaired on the sides - see pics",1
31,31,Reese Cooper,Reese Cooper Ripstop Cargo Short Grey Trail Map Camo Medium,22,New,Grey,30,$100 ,7,0,"Reese Cooper Ripstop Cargo Short Grey Trail Map Camo
Size Medium
Brand New",0
32,32,Reese Cooper,Reese Cooper Logo Sweatpants,7,Used,Black,30,$135 ,6,0,"High quality pants
Fit baggy
Could fit waist size 29-31
Will ship same or next day!",1
33,33,Grail × Reese Cooper × Streetwear,BRUSHED COTTON CANVAS CARGO PANTS,20,Gently Used,Black,36,$150 ,11,1,"**READ THIS FIRST**
• If you're just here to be a dick, keep it moving and take that shit elsewhere <U+0001F60A>
• No returns. If you have a question or need more pics please ask.
• No refunds. If you have a question or need more pics please ask.
• Ships anywhere within the USA usually 2-day priority.
• Overseas shipping is available <U+0001F6A8>BUT YOU MUST PAY SHIPPING AND IT'S NOT CHEAP<U+0001F6A8> I don't set the prices, that's just the reality of international shipping, PLEASE DO NOT COMPLAIN ABOUT SHIPPING PRICES!
• Please ask all questions before making offers. Offers are BINDING so once I accept the payment goes through.
• Serious inquiries only please.
• If you lowball please stop using Grailed. You will be ignored and blocked.
• Shipping times may take up to 7 days depending on location.
• Bundle discount on two or more items purchased, check out my other stuff for sale! <U+270C><U+FE0F><U+0001F918><U+0001F91D>
Worn but no visible flaws/stains, still in great condition.
Drawstrings on the cargo pockets on the back which give it a unique look and the ability to cinch at the knee.
Drawstring bottom hems.
Some heel drag on the hems, nothing crazy. Just gives them character really.
Fit pics for reference.
Retail was $450
100% Cotton
Zipper Fly
Welt Hand Pockets
Cargo Patch Pockets on Front with Snap Closure
Patch Pockets on Rear
Darting at Knee
RCI Signature Hook Detail
Draw String Cuffs
Model is 6’3” - 170lbs wearing a 34",1
34,34,Levi's × Reese Cooper,Levis Reese Cooper Straight Denim Jeans,11,New,Navy,36,$160 ,4,0,brand new with tags,1
35,35,Reese Cooper,Reese Cooper RCI Forest Service Sweats,25,Gently Used,Green,32,$85 ,7,0,"Size M
9/10 Condition",1
36,36,Reese Cooper,Reese Cooper RCI Logo Embroidered Sweatpants,4,New,Black,28,$99 ,6,0,"Reese Cooper RCI Logo Embroidered Sweatpants In Black.
No longer on the Reese Cooper website.
Size XS
I purchased this item on the Reese Cooper website. Never washed or worn, only when trying it on. I can ship this out same day it is purchased. Feel free to message me for more information. Thanks!",1
37,37,Reese Cooper × Vintage,Vintage Reese Cooper SS21 Camo Tactical Pants,28,Gently Used,Tan camo,34,$158 ,4,1,great condition.,1
38,38,Levi's × Reese Cooper,Levis Reese Cooper Straight Denim Jeans,7,New,Beige,32,$160 ,4,0,brand new with tags,1
39,39,Reese Cooper,Reese Cooper Brushed Cotton Canvas Cargo Pants in Black,19,New,Black,32,$280 ,9,1,"Condition: Brand New
Size: 32
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper",1
40,40,Reese Cooper,Reese Cooper Nylon shorts,13,Gently Used,Green,32,$107 ,4,0,"Nylon cargo shorts from reese cooper
Worn maybe 3 times
100% nylon
Waist fits like a 31-32, minimal stretch.",0
41,41,Levi's × Reese Cooper,Levis Reese Cooper Straight Denim Jeans,6,New,Navy,34,$150 ,5,0,brand new with tags,1
42,42,Reese Cooper,Reese Cooper Brushed Canvas Cargo Pants Oat Grass,12,New,Beige,32,$132 ,5,1,Reese Cooper Brushed Canvas Cargo Pants Oat Grass size 32. New never worn. Purchased from 2022 collection.,1
43,43,Reese Cooper,Reese Cooper Fever Dream paint splatter carpenter pants,67,Gently Used,Black,32,$259 ,10,0,"Reese Cooper Washed Black Denim Paint Splatter Carpenter pants from Fever Dream collection
Size tag says 32 but fits like 33 waist. Barely worn",1
44,44,Reese Cooper,Panelled Nylon Sport Trouser Reece Cooper,26,Gently Used,Green,34,$135 ,5,1,"Work once and cared for by instructions
Basically new",1
45,45,Reese Cooper,<U+0001F525>[SALE]<U+0001F525> Reese Cooper Flags Joggers Brown Sweatpants,11,New,Brown,34,$194 ,16,1,"<U+30FD>`<U+3001><U+30FD>``<U+3001><U+30FD>`<U+30FD>`<U+3001><U+3001><U+30FD> `<U+30FD> <U+3001><U+3001><U+3001><U+30FD> `
<U+30FD>`<U+30FD>`<U+30FD><U+30FD>`<U+3001><U+30FD>`<U+0001F319>`<U+3001><U+30FD>```<U+30FD>`<U+3001><U+30FD><U+3001>
<U+3001><U+30FD> <U+3001>``<U+3001> `<U+3001>` <U+3001>` <U+30FD>`<U+30FD><U+3001><U+30FD> ` <U+3001>`<U+30FD>
`<U+3001><U+30FD>``<U+3001><U+30FD>DARKLY STORE<U+3001>`<U+3001><U+30FD>``<U+3001><U+3001>
<U+3001><U+30FD><U+30FD>`<U+3001>`<U+3001><U+3001><U+30FD><U+30FD><U+3001>``<U+3001> <U+3001> <U+30FD><U+3001><U+3001>``<U+3001>
<U+30FD>``<U+3001><U+30FD>`<U+30FD>`<U+3001><U+3001><U+30FD> `<U+3001> <U+3001><U+30FD>`<U+3001><U+30FD> `<U+3001> <U+3001>
`<U+30FD><U+3001>``<U+30FD>`<U+3001><U+3001><U+30FD><U+0001F6B6><U+0001F3FB><U+200D><U+2642><U+FE0F><U+3001><U+30FD><U+30FD>`<U+30FD><U+3001><U+3001><U+3001><U+30FD><U+3001><U+3001>
_____________________________________________
<U+2757><U+FE0F>CHECK MEASUREMENTS AND ALL PHOTOS BEFORE MAKING PURCHASE.
<U+2757><U+FE0F>NO RETURNS, EXCHANGES OR REFUNDS.
<U+2757><U+FE0F>A BUYER ARE RESPONSIBLE FOR READING FULL ITEM LISTING BEFORE MAKING THE PURCHASE.
<U+2757><U+FE0F>PURCHASING THIS ITEM A BUYER AGREE WITH RULES, LOOKED THROUGH ALL PHOTOS, KNOW ALL MEASUREMENTS AND DON’T HAVE ANY COMPLAINTS REGARDING SIZING.
_____________________________________________
<U+0001F53D>PRICE<U+0001F53D>

<U+0001F525>$380 is Retail Price<U+0001F525>
<U+0001F525>$185 is Price of Our Shop<U+0001F525>
Your Extra Benefit:
-You can request 1 day shipping for $25
<U+25FE>LAST ONE ITEM<U+25FE>
<U+0001F525>Don't miss an opportunity to buy it NOW. Or someone else will buy it<U+0001F525>
<U+0001F53D>DESCRIPTION<U+0001F53D>
New with Tags
100% authentic and genuine.
Size Large/US34
<U+0001F53D>MEASURMENTS<U+0001F53D>
For better understanding measurements, measure your basic similar item by the same way we measured (pics of measurements are in the listing) and compare measurements with our.
<U+0001F53D>SHIPPING <U+0001F53D>
<U+25FE>UPON REQUEST AND ADDITIONAL<U+25FE>
$25 - 1 day delivery via DHL/FedEx - only US
Text me that you want 1 day delivery and i’ll offer you total price.
<U+0001F53D>NOTES <U+0001F53D>
<U+25AA><U+FE0F>All items will be marked as a «Gift». I will indicate a lower item value on the custom form.
<U+25AA><U+FE0F>There may be any delays in delivery.
<U+25AA><U+FE0F>Ask any questions BEFORE sending offers.
<U+25AA><U+FE0F>No returns, exchanges or refunds. Check the measurements, ask questions beforehand;
<U+25AA><U+FE0F>All the measurements are approximate (+/- 2 inch)
<U+0001F525><U+0001F525><U+0001F525>Trusted shop! Buy with confidence.",1
46,46,Reese Cooper,Reese Cooper Lightweight Cotton Cargo Pants,12,Gently Used,Green,36,$100 ,11,1,"Worn twice, and wash delicately twice, these pants are still in great condition. No tears, rips, damage, stains or smells.
The Reese Cooper Lightweight Cotton Cargo Pants are a size 36 in Men's and the color is a cargo/Forrest green.
Pants are all cotton but feel a bit like linen which why it seems wrinkly
No Refunds Please Be Careful & Look Through All Photos Along With The Description When Purchasing.
Will Ship Through UPS For A Fast & Timely Manner
No International Shipping, US Only",1
47,47,Reese Cooper,Reece Cooper black nylon cargo shorts,31,Used,Black,28,$125 ,4,1,"Reese Cooper nylon shorts
size 28, waist measures 12” & stretches to 15”
4 back pockets, 2 cargo pockets w rear zip pockets, & 2 front pockets. whole lotta pockets.
Cargo pockets hang slightly longer than seam, similar to Ricks.
All items are shipped priority (USPS). $50 insurance included, any additional insurance requests will be at customer’s expense.
No international shipping.
No refunds, No returns.",0
48,48,Levi's × Reese Cooper,Levi’s x Reese Cooper Levi’s Straight Pant,47,Gently Used,Blue,30,$150 ,8,0,"Size 30 x 34 straight leg Levi’s collab with Reese cooper in brilliant condition
Message me with any questions or offers",1
49,49,Levi's × Reese Cooper,Reece Cooper x Levi’s green denim,24,Gently Used,Green,28,$100 ,5,1,Still in like new/gently used condition. Worn a handful of times. Bought from Reece Cooper a couple months ago.,1
50,50,Reese Cooper,Reese Cooper Fever Dream Splatter Paint Denim,2,Gently Used,Charcoal,30,$190 ,9,1,"Gently Used 9/10
Labelled 30 but honestly fit more like a 31
Worn these a couple times. Reese Cooper painted denim. Very cool and pretty much new. Believed these retailed for $400 so getting a good deal here.
Carpenter pocket.
See pics for details.",1
51,51,Reese Cooper,Reese Cooper Ripstop Cargo Shorts 'Orange',13,Gently Used,Orange,32,$105 ,8,1,"Reese Cooper Ripstop Cargo Shorts 'Orange'
Size medium
Worn once
OPEN TO OFFERS, PLEASE MESSAGE",0
52,52,Reese Cooper,Stamp Print Cotton Canvas Cargo Trousers,1,Gently Used,Tan,32,$195 ,4,1,Love these pants just don’t wear them as much anymore. Only kicker is that the latch on the zipper broke off. So the pants still zip up but there isn’t something to help pull it. Clean with no stains.,1
53,53,Reese Cooper,REESE COOPER BRUSHED COTTON CANVAS CARGO PANTS,13,Used,Black,36,$80 ,5,1,"Worn but no visible flaws/stains, still in great condition. These have strings on the cargo pockets on the back which give it a unique look.",1
54,54,Reese Cooper,Reese Cooper Cargo Work Shorts,18,Gently Used,Black,28,$147 ,9,1,"UNFORTUNATELY NO MORE DROPS
/ NO MORE OFFERS
Priced to sell <U+0001F91F><U+0001F601>
Really insane quality cargo shorts.
Comes with tags. Measurements from the RCI site are in the photos above^
Hmu if you have any questions <U+2728>",0
55,55,Reese Cooper,SS21 Reese Cooper RCI Denim Jeans,13,New,Navy,30,$98 ,4,1,"30x30
From the Spring/Summer 21 “River Run
Through” Collection
Minimal/Grail Wear
Like New Condition
Carabiner Clip Still attached including buttons
Offer",1
56,56,Levi's × Reese Cooper,Reese Cooper x levis canvas straight fit pants,1,Gently Used,Forest green,30,$125 ,8,0,An interesting material switch up instead of denim there’s a heavyweight canvas. Cool Reese Cooper details throughout. Size 30x34 8/10 condition. As is,1
57,57,Reese Cooper,Reese Cooper AW 21 Printed Cargo Pant,1,Gently Used,Green,30,$160 ,4,1,"Reese Cooper AW 21 Printed Cargo Pant
Size 30
Worn Once
Great workwear piece
Message me with any offers or questions!",1
58,58,Reese Cooper,COTTON HERRINGBONE CARGO PANT,5,New,Black,32,$234 ,12,1,"Brand new with tags. Size 32. Retail: $628
An RCI staple, the Cotton Herringbone Cargo Pant, returns this season featuring cargo pockets throughout and the RCI signature hook detail is finished at the waistband. Our favorite feature is the adjustable velcro at the ankle allowing you to accommodate any shoe shape.
Zipper fly
Raccagni zipper
Button closure
Welt hand pockets on front
Welt pockets with flap on back
Cargo pockets with flap and snap closure throughout
Panelling in knee
Adjustable velcro strap on ankle
RCI signature hook detail on waistband
Made in Los Angeles, CA",1
59,59,Reese Cooper,Reece Cooper Cotton Cargo Pants sz 35,1,Used,White,35,$100 ,7,1,"Reece Cooper Cotton Cargo Pants
cond. 8/10
Size 35”
$100 obo",1
60,60,Reese Cooper,Herringbone Cotton Cargo Pants,18,Gently Used,Coyote,30,$195 ,11,1,"REESE COOPER
Brown Herringbone Cotton Cargo Pants
Herringbone cotton trousers.
Condition 9,5/10, worn for 3 times
· Button-fly
· Belt loops and signature lanyard-clasp hardware at waistband
· Nine-pocket styling
· Pleats at knees
· Velcro tabs at cuffs
· Reinforced panel at inseam
· Logo-engraved silver-tone hardware
Supplier color: Coyote
100% cotton.
Made in United States",1
61,61,Reese Cooper,Reese Cooper Cotton Cargo Shorts in Khaki,7,New,Khaki,30,$150 ,6,1,"Condition: Brand New
Size: 30
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper",0
62,62,Reese Cooper,REESE COOPER special project ss22 RCI BASE CAMP sweatpants,23,Gently Used,Black,32,$90 ,6,1,"read first before buy
can do ship worldwide
buy it or offer your price
Reese Cooper special project ss22 RCI BASE CAMP sweat pants
size medium on tag garterized fits 30-32 mens waistline
still in presentable and prestine condition
no flaws only sign of use
see picture details posted
feel free to ask questions just dm me
payment accepted paypal only
shipping via DHL express 3-5 days only
no delays
thank you and happy shopping…",1
63,63,Reese Cooper,Outdoor Supply Waxed Cotton Pant in Green,23,New,Green,32,$128 ,7,1,Really cool lightweight piece. I bought this from the official site. wish I could wear it but it’s too small for me. It says it’s size 34 but it fits like a 32 !,1
64,64,Reese Cooper,Reese Cooper Cotton Cargo Shorts in Khaki,5,New,Khaki,34,$150 ,6,1,"Condition: Brand New
Size: 34
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper",0
65,65,Reese Cooper,Reese Cooper Brown Hitch hiking cargo pants size 32,32,Gently Used,Brown,32,$60 ,3,1,"Size 32
Worn a handful of times excellent condition",1
