,X,brand_name,item_name,number_likes,condition,color,size,price,img_length,measurements,description,type
66,66,Reese Cooper,Reese Cooper Cargo Short,38,New,Black,30,$145 ,5,1,"-Reese Cooper Cargo Shorts in Black. Size 30.
-Great Quality shorts as with all Reese Cooper pieces.
-FAST shipping immediately after purchase with USPS MAIL & Tracking. *Shipping within the USA only*
-tags have been removed
-No refunds or returns.",0
67,67,Reese Cooper,Reese cooper cargo 34,7,Gently Used,Orange,34,$67 ,3,1,"Orange color
Worn 2x times
Great color
Great hardware",1
68,68,Reese Cooper,"Final drop, repost in 72hrs COORDINATE JEANS",27,Gently Used,Blue,34,$129 ,5,1,"Worn a few times but have zero flaws
Can fit a 36 imo
Grab a sweet pair of denim from an early Reese Cooper collection!
Open to offers but plz don’t lowball",1
69,69,Reese Cooper,Reese Cooper Sweatpants,2,Gently Used,Black,32,$90 ,5,0,"Only worn a few times.
Baggy fit with 3 pockets plus cargo pocket on leg.",1
70,70,Reese Cooper,Reese Cooper SS21 Black Pintuck Trousers,13,Gently Used,Black,32,$180 ,10,1,"Straight-leg brushed cotton canvas trousers in black. Mid-rise. Five-pocket styling. Belt loops and lanyard clasp hardware at waistband. Pleated pintucks at front and back legs. Button-fly. Silver-tone hardware. No signs of wear.
Message me with any questions!",1
71,71,Reese Cooper,Nylon Cargo Shorts Green,22,New,Green,27,$108 ,4,1,"Reese Cooper
Nylon Cargo Shorts
Green
New w/o tags
originally $325",0
72,72,Levi's × Levi's Vintage Clothing × Reese Cooper,Reese Cooper X Levi Straight fit denim jeans,7,Gently Used,Blue,36,$200 ,5,1,"Size 36, worn twice, only 1 on Grailed in this size
Cottonized Hemp
Button fly closure
Two patch hand pockets on front
Two patch pockets on back
RCI signature hook detail on waistband
RCI x Levi’s Tab on back right pocket
RCI x Levi’s back patch on back waistband
Triple-needle stitching throughout
RCI x Levi’s metal buttons throughout
RCI embroidery on front right knee
Blowout on front right knee
Produced by Levi’s
Made in Turkey
Dm for any questions / concerns :)",1
73,73,Levi's × Reese Cooper,Levis Reese Cooper Straight Denim Jeans,23,New,Navy,32,$180 ,6,0,brand new with tags,1
74,74,Reese Cooper,Reese Cooper RCI Forest Service Sweats,1,Gently Used,Black,32,$125 ,7,0,"Size M
9/10 Condition",1
75,75,Reese Cooper,Reese Cooper Paneled Sport Pant,8,Gently Used,Black,34,$130 ,4,0,Worn Twice Retail $578,1
76,76,Reese Cooper,Grey trail shorts M,16,New,Grey,32,$87 ,4,0,"Imagine being on a trail.
And you see.
Gorilla da spinna <U+0001F98D>
Gorilla da spinna <U+0001F98D>
Gorilla da spinna <U+0001F98D>
Orangtuan a banging on my chest <U+0001F9A7>
Orangtuan a banging on my chest <U+0001F9A7>
Orangtuan a banging on my chest <U+0001F9A7>
Only possible In these shorts. Get em whole they’re in.
Ships next day as always <U+2764><U+FE0F><U+0001FAF6><U+0001F3FC>",0
77,77,Grail × Reese Cooper × Streetwear,<U+0001F6A8>FINAL PRICE!!<U+0001F6A8>Cotton Herringbone Stamp Print Cargo Pant,42,Gently Used,Khaki,32,$129 ,10,1,"<U+0001F6A8>FINAL PRICE!!<U+0001F6A8>
**READ THIS FIRST**
• If you're just here to be a dick, keep it moving and take that shit elsewhere <U+0001F60A>
• No returns. If you have a question or need more pics please ask.
• No refunds. If you have a question or need more pics please ask.
• Ships anywhere within the USA usually 2-day priority.
• Overseas shipping is available <U+0001F6A8>BUT YOU MUST PAY SHIPPING AND IT'S NOT CHEAP<U+0001F6A8> I don't set the prices, that's just the reality of international shipping, PLEASE DO NOT COMPLAIN ABOUT SHIPPING PRICES!
• Please ask all questions before making offers. Offers are BINDING so once I accept the payment goes through.
• Serious inquiries only please.
• If you lowball please stop using Grailed. You will be ignored and blocked.
• Shipping times may take up to 7 days depending on location.
• Bundle discount on two or more items purchased, check out my other stuff for sale! <U+270C><U+FE0F><U+0001F918><U+0001F91D>
<U+0001F6A8>FINAL PRICE!!<U+0001F6A8>
Reese Cooper PYROPHYTE COLLECTION STAMP PRINT CARGO PANT
Gently used, worn maybe 3 times, no major flaws.
Fit pic for reference in the green color way.
Retails for $628
From Reese:
An RCI staple, the Cotton Herringbone Cargo Pant, returns this season featuring an updated print. Drawing inspiration from the etching of a tree, our custom Etching Camo is seen in both sage and khaki. Per usual, the cargo pants feature cargo pockets throughout and the RCI signature hook detail is finished at the waistband.
Zipper fly
Raccagni zipper
Button closure
Welt hand pockets on front
Welt pockets with flap on back
Cargo pockets with flap and snap closure throughout
Panelling in knee
Adjustable velcro strap on ankle
RCI signature hook detail on waistband
Made in Los Angeles, CA
<U+0001F6A8>FINAL PRICE!!<U+0001F6A8>",1
78,78,Reese Cooper,Reese Cooper Denim Cargo Pants,1,New,Denim,34,$224 ,2,1,"Brand New w/ Tags
Retail- $500+
Size 34x32
Ships Next Day
Send Offers",1
79,79,Reese Cooper,"Final drop, repost in 72hrs COORDINATE JEANS",27,Gently Used,Blue,34,$120 ,5,1,"Worn a few times but have zero flaws
Can fit a 36 imo
Grab a sweet pair of denim from an early Reese Cooper collection!
Open to offers but plz don’t lowball",1
80,80,Levi's × Reese Cooper,Reese Cooper Levi’s Straight Fit Denim Jean,21,New,Blue,32,$170 ,5,1,"Size 32x34
Custom RCI x Levis hardware and back tab
RCI embroidery above right knee blowout
Signature RCI hook on belt loop
Ships with original tags and packaging",1
81,81,Reese Cooper,Reese Cooper Pintuck Trousers,1,New,Beige,34,$152 ,19,1,"Size:34x34
Retail: $400
Condition: New with tags
100% authentic
Fast shipper
Dm with any questions",1
82,82,Reese Cooper,Reese Cooper AW21 Forest Pants,13,Gently Used,Green,34,$180 ,5,0,"Released from the A/W 2021 “Pyrophyte”collection
Size L fits baggy
Probably the highest quality/heaviest pants I’ve owned
Slight distressing due to the “worn” Reese Cooper look",1
83,83,Reese Cooper,Reese Cooper RIVER RUNS THROUGH Cargo Short,12,Used,Black,28,$105 ,5,0,"Beautifully constructed shorts from Reese Cooper. Used, but sturdy and no damage is present. Size 28, I normally wear a size 30 and they fit perfectly.",0
84,84,Reese Cooper,reese cooper cargo pants,46,Used,Black,32,$130 ,11,0,"reese cooper hitchhiking cargo pant
size 32
i did some tailoring to these pants just to make them a little more skinny, but they still fit exactly like a 32.
if you need measurements i will provide.
i added some fit pictures
amazing quality on these pants. retail was $400
located in nyc
thanks, all sales final",1
85,85,Reese Cooper,River Runs Through SS21 Cargo Pants Cotton,39,New,White,36,$194 ,6,1,Brand new with tag. Retails $360+ Perfect for spring.,1
86,86,Reese Cooper,Reese Cooper Special Projects Cargo Pants,12,New,Blue,32,$142 ,6,1,"Rare waxed cotton Reese Cooper Cargo pants
Retail: $448
Brand new
Size 30, but fits like a 32",1
87,87,Levi's × Reese Cooper,Levi's X REESE COOPER Denim Jeans,12,Gently Used,Denim,36,$377 ,10,1,"This limited collaboration denim collection between Levi's and REESE COOPER has it's unqiue wash and treatment to the denim. Looks even better in person!
Waist: 36 Length: 34",1
88,88,Reese Cooper,Reese Cooper pleated wool cargos,7,Gently Used,Plaid,28,$80 ,6,1,"Size 28
Great piece for fall
Tons of details and a great pattern
Only shipping to US/Canada",1
89,89,Reese Cooper,Reese Cooper Organic Dye Cargo Pants,6,Gently Used,Black,30,$173 ,16,1,"Reese Cooper Organic Dye Cargo Pants
Black Size 30
Inseam has been shortened
refer to measurements
7/10 condition. Used a bit. some fading and a couple spots, see photos
only notable thing is I did cut off the signature reese cooper keychain <U+0001F972>sorryyyy
only shipping within the US or CA",1
90,90,Reese Cooper,Reese Cooper Cargo Shorts S/S 22' Trail Map Camo,2,New,Gray,32,$80 ,5,1,"Reese Cooper Ripstop Cargo Short Grey Trail Map Camo Large
Spring Summer 2022
New With Tags
Never worn
Retail $298",0
91,91,Reese Cooper × Streetwear,Reese cooper cargo pants size 34,9,New,Orange,34,$150 ,5,1,Brand new with tags size 34 x34,1
92,92,Reese Cooper,$348 Reese Cooper RCI Embroidered Sweatpants Black - Size S,49,Used,Black,30,$120 ,7,0,"100% Authentic
Condition: Used
Size: Small
Item Description: Made from a heavyweight french terry and constructed with front panelling. Finished with the RCI hook on the waistband, elongated drawstrings, and a subtle cargo pocket on the right leg, these trousers are perfect for everyday wear.
Wore these a good bit but no major signs of wear. Please judge condition from photos above all else.
Shipping: No returns. All sales final.
Let me know if you have any questions and have a great day!",1
93,93,Reese Cooper,RCI Forest Sweatpants (size L),34,New,Forest green,30,$108 ,6,0,Retail: $368,1
94,94,Levi's × Reese Cooper,Canvas Straight Fit Jeans,1,New,Natural,30,$220 ,4,1,"Reese Cooper x Levi’s
Organic cotton canvas straight fit
30x34
Brand new",1
95,95,Reese Cooper,"Oat Grass Embroidered Pleated pants, size 32",35,New,Beige,32,$165 ,10,1,"Brand new with tags. Retail price $488
Reese Cooper pleated pants with beautifully embroidered oat grass design on bottom of pants. Size 32. Made in USA.
10/10 condition. Pants have never been washed. No holes, smells, rips, tears, stains, or issues with pants. Have pants in hand, will ship same day payment is received",1
96,96,Reese Cooper,Reese Cooper Brushed Cotton Canvas Cargo Pants,1,Gently Used,Black,31,$140 ,5,1,"NA shipping only, all sales final.
Gently used still in fantastic condition with original hang tag.
Very heavy and baggy cargo pants.
Open to offers.",1
97,97,Reese Cooper,SS21 Reese Cooper RCI Denim Jeans,6,New,Navy,30,$127 ,4,1,"30x30
From the Spring/Summer 21 “River Run
Through” Collection
Minimal/Grail Wear
Like New Condition
Carabiner Clip Still attached including buttons
Offer",1
98,98,Levi's × Reese Cooper,Reese Cooper Levi's Straight Fit Duck Canvas Pants in Green,43,New,Green,34,$170 ,6,1,"Condition: Brand New
Size: 34x34
Shipping: Ships next day!
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper x Levi's",1
99,99,Reese Cooper,Reese Cooper Cargo Work Pants,72,New,Khaki,34,$260 ,6,0,New without tags. Size 34. Message me with any questions!,1
100,100,Reese Cooper,RCI sweatpants,15,Used,Black,33,$126 ,4,1,Used like new size Large. Only selling bc they are too big.,1
101,101,Reese Cooper,Outdoor Supply Waxed Cotton Pant in Green,26,New,Green,32,$90 ,7,1,Really cool lightweight piece. I bought this from the official site. wish I could wear it but it’s too small for me. It says it’s size 34 but it fits like a 32 !,1
102,102,Reese Cooper,Reese cooper knee works pants in coffee,7,New,Brown,32,$140 ,5,1,Never worn out,1
103,103,Reese Cooper,Against The Wind Fatigue pants,16,Gently Used,Grey,32,$76 ,6,1,I’m good but used condition with some very minor stains on the right front pocket as pictured. Otherwise beautiful and very high quality garment. Selling for a good price!,1
104,104,Reese Cooper,Corduroy Adventure Cargo Pants,9,Gently Used,Tan,30,$200 ,5,1,Amazing detailing. Straight leg fit. Paid $480 originally. Good condition. Fits 31-32 waist best.,1
105,105,Levi's × Reese Cooper,Reese Cooper Levi’s Jeans Size 28x34,4,Gently Used,Blue,28,$107 ,6,1,"Ripped knee. Other that pants look new!
Any questions please dm us! Checkout our other listing! We ship within 24 hours!
Thank you<U+0001F91E><U+0001F3FD>",1
106,106,Reese Cooper,Reese Cooper Cargo,6,Gently Used,Green,32,$100 ,8,1,"Reese Cooper Organic Dye Cargo
AW 2021 “Pyrophyte”
Sized 32 fits 34
Condition - 8/10
Small Mark on rise, see picture
Cool pants, too big for me was never able to wear
Bought used off here, needs dryclean",1
107,107,Reese Cooper,Reese Cooper Waxed Cotton Pants,20,New,Khaki,30,$100 ,5,1,"Brand New
Size 32, but has a very slim waist. Fits more like a size 30.
Message me for any questions.",1
108,108,Reese Cooper,Reese Cooper Nylon Panelled Sport Pant,46,New,Green,30,$215 ,10,1,"Reese Cooper Nylon Panelled Sport Pant Coloured Forest Green & Cream From FW 21. The Condition Is 10/10 As They Have Never Been Worn, As Unfortunately They Are Too Small For Me. Welcome To Offers, Contact Me For Further Information.",1
109,109,Reese Cooper,Reese Cooper Organic Dye Cargo Pants,2,Gently Used,Green,30,$228 ,10,1,"Reese Cooper Organic Dye Cargo Pants
Green Size 30
7/10 Worn a bit, some slight fading
also i cut off the keychain piece
length has been hemmed as well
refer to measurements
only shipping within the US",1
110,110,Reese Cooper,Reese Cooper Organic Dye Cargos Brown,19,Gently Used,Brown,30,$210 ,16,1,"Reese Cooper Organic Dye Cargos
Brown Size 30
Used a bit, starting to fade
these have been hemmed
refer to measurements
i also cut off the signature rc keychain thing, sorry :(
other than that no major flaws
only shipping within the US",1
111,111,Reese Cooper,Reese Cooper Cargo Pants,0,Gently Used,Black,34,$237 ,5,1,"Amazing pants
So many pockets and Velcro straps on the ankle as well",1
112,112,Reese Cooper,How A Letter Travels - Linen Cargo Trouser (Watercolor Camo),12,Gently Used,Water colour camo,34,$100 ,6,1,"Condition: 9/10
Size: 34
Excellent condition, worn few times. No blemishes, marks, stains, rips, holes, etc.
Reese Cooper SS20 “How A Letter Travels” Collection. Features a key hook on the waistline and cargo flap pocket on the thigh. True to size.",1
113,113,Reese Cooper,Reese Cooper Pants Against The Wind Collection,29,Gently Used,Blue,30,$100 ,5,1,"Work only a handful of times, great condition.
The lighting in my room makes them look darker than they are, but the editorial photo is exactly what they look like, in terms of color and fit",1
114,114,Reese Cooper,Reese Cooper Patchwork Jeans,17,Gently Used,Denim,28,$120 ,9,1,"I can count on my fingers how many times I've worn this. I want to say around 8 times lightly total.
From Spring Summer 2021, ""River Runs Through.""
Very nicely washed, cool pair of quality, slim straight jeans- details are crazy on these.
Fits kinda like a pair of Levi's 501. Inseam is on the longer side, roughly 32. Rise is standard.
Offer up!",1
115,115,Reese Cooper,Reese Cooper Herringbone Cotton Cargo Sage Brand New Sz 36,0,New,Sage,36,$215 ,11,1,"•Brand New With Tags
•Size 36, spacious fit. Please refer to size chart for measurements.
•Color: Sage
•Feel free to contact me with any questions, or need any other photos
•US Shipping Only
--------
Please ask all your questions before sending offers.
No returns, exchanges, or refunds. Please make sure to throughly look at images and contact me for more information before making a purchase.",1
116,116,Levi's × Reese Cooper,*LAST DROP* Reese Cooper Levi Embroidered Jeans Sold Out,41,Gently Used,Green,32,$135 ,8,0,"100% Authentic
Size 32x34
Worn once
Sold out
Rare
Ready to ship",1
117,117,Levi's × Reese Cooper,Reese Cooper X Levi’s Denim,31,Gently Used,Blue,36,$185 ,5,0,"Reese Cooper X Levi’s Denim
Size: 36
Condition: Gently Used
** MEMBER SINCE 2015
*** GRAILED TRUSTED SELLER
**** OVER 180 FIVE <U+2B50><U+FE0F> REVIEWS
***** 260+ POSITIVE TRANSACTIONS
****** NO RETURNS / NO EXCEPTIONS",1
118,118,Reese Cooper,Reese Cooper Organic Dye Cargo Pants Trousers Green Olive 30,73,New,Green,30,$285 ,7,1,"Brand new with tags attached. Insane quality and details. Dry clean only.
Model wears size 30
Model measures: Height 183cm, Chest 36”/91cm, Waist 28”/70cm, Hip 36”/91cm",1
119,119,Reese Cooper,Reese Cooper Waxed Cotton Pants,7,New,Khaki,30,$127 ,5,1,"Brand New
Size 32, but has a very slim waist. Fits more like a size 30.
Message me for any questions.",1
120,120,Reese Cooper,Fever Dream Black Paint Splatter Jeans $398 Retail,3,Gently Used,Black,30,$170 ,7,0,"Worn 2X
2 Day Priority Shipping",1
121,121,Reese Cooper,Reese Cooper Pants,7,Gently Used,Gray/olive,30,$127 ,4,0,"- perfect stacking
- comes with attachment ( adds for great silhouette
- fits amazing wit most shoes
- color is shown in 3rd pic",1
122,122,Reese Cooper,Reese Cooper Organic Dye Cargo Trouser,41,New,Green,32,$265 ,3,1,"BNWT
Retail $398
CONUS shipping only
No refunds or returns",1
123,123,Levi's × Reese Cooper,Reese Cooper x Levi’s Canvas Straight Fit Jeans,2,New,Cream,32,$115 ,7,1,"Worn only once, basically brand new
32x34",1
124,124,Reese Cooper,Hitchhiker Denim,3,Gently Used,Blue,32,$212 ,4,1,"Item: Reece Cooper Hitchhiker denim
Condition: Good used condition - see photos.
Sizing: Measurement 32 (not tagged)
—-
All sales are final, not exchanges or refunds
No flakes/time wasting - If you offer, be PayPal ready
or get blocked.",1
125,125,Reese Cooper,Reese Cooper Corduroy Cargo Trouser Baby Blue PF20,9,Gently Used,Blue,32,$150 ,2,1,"In amazing condition, no major flaws
Message me if you have questions",1
126,126,Reese Cooper,Reese Cooper Denim,34,Gently Used,Denim,30,$77 ,3,1,"size 30
worn handful of times
no flaws
Hence using original hem",1
127,127,Reese Cooper,Stamp Print Cotton Canvas Cargo Pants 34,10,New,Forest green,34,$110 ,3,0,"Stamp Print Cotton Canvas Cargo Pants
Forest Green
Size 34
Never Worn",1
128,128,Reese Cooper,Reese Cooper Lightweight Cotton Cargo Pants,5,Gently Used,Brown,36,$105 ,7,1,"Worn twice, and wash delicately twice, these pants are still in great condition. No tears, rips, damage, stains or smells.
The Reese Cooper Lightweight Cotton Cargo Pants are a size 36 in Men's and the color is brown.
The material is cotton but feels a bit more like linen which is why it seems a bit wrinkly.
No Refunds Please Be Careful & Look Through All Photos Along With The Description When Purchasing.
Will Ship Through UPS For A Fast & Timely Manner
No International",1
129,129,Reese Cooper,Snap Leg Cargo Quilted Cargo,84,New,Black,32,$184 ,5,0,"insulated cargo trouser filled primaloft
snap and zipper opening.
cargo pocket.
retail: $576",1
130,130,Reese Cooper,Reese Cooper Work Pants Wide Leg,78,Gently Used,Tan,32,$70 ,4,1,"Reese Cooper pants that are similar to the OG 107 cut.
Nice details and quality made.
Only use 3 times. Not really my style.",1
131,131,Designer × Reese Cooper × Streetwear,REESE COOPER PYROPHYTE COLLECTION KHAKI CARGO PANTS!,14,Gently Used,Khaki,32,$120 ,9,1,"AMAZING RARE STREETWEAR DESIGNER REESE COOPER 2021 PYROPHITE COLLECTION ALL OVER PRINT KHAKI CARGO PANTS SIZE 32”x 30”. So much nice detail like the Velcro down at the ankle hems and all over print paint patches. Great quality zero flaws. Looks like these were retailing for $400+.
#reesecooper #designer #cargo #streetwear #alloverprint
<U+0001FAC0><U+0001FAC0><U+0001FAC0>free shipping with bundles
<U+2728><U+2728><U+2728>message me on ig @buttons_vintage for questions and additional pics
<U+0001F31E><U+0001F31E><U+0001F31E>always open to offers and almost always will work with you on deals
<U+0001F308><U+0001F308><U+0001F308>Message for additional measurements
<U+0001F48A><U+0001F48A><U+0001F48A>Will accept returns within reason
<U+0001F940><U+0001F940><U+0001F940>What I lack in presentation in terms of packaging itself I try to make up for with fast shipping and good prices
<U+0001F441><U+0001F441><U+0001F441>Please follow, new product almost every day
<U+0001F30E><U+0001F30E><U+0001F30E>International shipping starts at $15 for Canada and $25 for everywhere else, price goes up with weight
<U+0001F9A0><U+0001F9A0><U+0001F9A0>No Trades Plz",1
132,132,Reese Cooper,Reese Cooper Patched Nylon Cargo,19,Gently Used,Black,32,$200 ,5,1,"Tagged 32 and fit tts
Refer to measurements
Message me if you have any questions",1
133,133,Reese Cooper,Reese Cooper SS21 Organic Dye Cargo Pants,51,Gently Used,Olive,33,$140 ,7,1,"Tagged 32 but fits more like 33.
Hemmed to 27in inseam.
Dry cleaned after taking photos",1
134,134,Reese Cooper,Reese Cooper Lightweight Cotton Cargo Pants,2,Gently Used,Green,36,$80 ,11,1,"Worn twice, and wash delicately twice, these pants are still in great condition. No tears, rips, damage, stains or smells.
The Reese Cooper Lightweight Cotton Cargo Pants are a size 36 in Men's and the color is a cargo/Forrest green.
Pants are all cotton but feel a bit like linen which why it seems wrinkly
No Refunds Please Be Careful & Look Through All Photos Along With The Description When Purchasing.
Will Ship Through UPS For A Fast & Timely Manner
No International Shipping, US Only",1
135,135,Reese Cooper,Reese Cooper Ripstop Cargo Shorts River Rock Camo,1,Gently Used,Blue,36,$60 ,5,1,"Reese Cooper Ripstop Cargo Shorts, the color would be the river rock Camo
Size is a XXL which would be about a 36.
Worn only a handful of times close to about 3-4 times, and cleaned/washed about the same time, still in excellent condition.
No tears, rips, damages.
Will Ship Through UPS For A Fast & Timely Manner.
No Refunds, Please Be Careful & Look Through All Photos, Along With The Description When Purchasing.
No International Shipping, US Only.",0
136,136,Reese Cooper,REESE COOPER KHAKI WORK CARGO PANTS,6,Gently Used,Tan,32,$150 ,15,1,"AW18 REESE COOPER KHAKI WORK CARGO PANTS
Worn maybe 2/3 times, not my size.
Few very small white paint splatters pointed out in pictures!
Since buying from another buying a small tear on the right leg and back pocket button bas fallen off, compare all photos please
The quality on these are INSANE!
So many fine details!
Please feel free to reach out with any questions!",1
